iter	Passed	Remaining
0	10	10901
1	21	10667
2	31	10628
3	42	10552
4	50	10055
5	56	9392
6	62	8855
7	66	8288
8	70	7811
9	75	7456
10	78	7097
11	82	6796
12	86	6568
13	90	6396
14	95	6244
15	98	6075
16	102	5942
17	107	5841
18	110	5727
19	114	5611
20	118	5525
21	122	5463
22	126	5380
23	130	5298
24	134	5236
25	138	5188
26	142	5118
27	145	5053
28	149	5006
29	153	4968
30	157	4920
31	161	4870
32	165	4844
33	169	4811
34	173	4773
35	176	4734
36	180	4709
37	185	4686
38	188	4653
39	192	4618
40	196	4594
41	200	4572
42	204	4541
43	207	4509
44	211	4492
45	215	4475
46	219	4449
47	223	4423
48	227	4414
49	231	4399
50	235	4375
51	238	4352
52	242	4339
53	246	4318
54	250	4298
55	253	4281
56	258	4272
57	262	4256
58	265	4237
59	269	4227
60	274	4218
61	277	4204
62	281	4187
63	285	4177
64	289	4166
65	293	4149
66	296	4132
67	300	4120
68	304	4112
69	308	4100
70	312	4086
71	316	4076
72	320	4070
73	324	4058
74	328	4046
75	331	4035
76	336	4030
77	340	4019
78	343	4006
79	347	3995
80	351	3990
81	355	3977
82	358	3964
83	362	3954
84	367	3952
85	370	3942
86	374	3931
87	378	3918
88	382	3913
89	386	3903
90	389	3892
91	393	3884
92	397	3880
93	402	3876
94	405	3866
95	410	3860
96	414	3858
97	418	3850
98	421	3840
99	426	3835
100	430	3830
101	434	3822
102	437	3813
103	441	3807
104	446	3802
105	449	3793
106	453	3785
107	457	3780
108	461	3774
109	465	3766
110	469	3757
111	473	3750
112	477	3745
113	480	3737
114	484	3732
115	489	3727
116	492	3720
117	496	3710
118	500	3702
119	504	3700
120	508	3696
121	512	3688
122	516	3684
123	521	3683
124	525	3676
125	528	3668
126	532	3663
127	537	3659
128	540	3651
129	544	3643
130	548	3637
131	552	3633
132	556	3627
133	560	3619
134	564	3614
135	568	3609
136	571	3602
137	575	3595
138	579	3592
139	584	3587
140	587	3580
141	591	3574
142	595	3568
143	599	3563
144	603	3556
145	607	3550
146	611	3546
147	615	3540
148	618	3534
149	622	3528
150	627	3526
151	630	3519
152	634	3511
153	637	3504
154	642	3500
155	645	3494
156	649	3488
157	653	3482
158	657	3479
159	661	3474
160	665	3468
161	669	3461
162	673	3459
163	677	3453
164	681	3446
165	685	3441
166	689	3438
167	693	3432
168	696	3425
169	700	3420
170	704	3416
171	708	3411
172	712	3404
173	715	3398
174	720	3396
175	724	3390
176	727	3384
177	732	3380
178	736	3376
179	739	3370
180	743	3364
181	747	3359
182	751	3356
183	755	3351
184	759	3345
185	763	3341
186	767	3338
187	771	3332
188	775	3325
189	779	3321
190	782	3316
191	786	3310
192	790	3304
193	794	3300
194	798	3296
195	802	3291
196	806	3285
197	810	3282
198	814	3277
199	818	3272
200	821	3267
201	825	3263
202	830	3258
203	833	3253
204	837	3247
205	841	3243
206	845	3238
207	849	3233
208	852	3228
209	857	3224
210	861	3220
211	864	3214
212	868	3209
213	873	3206
214	877	3202
215	880	3196
216	884	3191
217	888	3187
218	892	3182
219	895	3176
220	900	3172
221	904	3169
222	908	3164
223	911	3158
224	915	3153
225	919	3150
226	923	3145
227	927	3139
228	931	3135
229	935	3132
230	939	3126
231	942	3121
232	946	3116
233	951	3113
234	955	3108
235	958	3103
236	962	3099
237	967	3097
238	971	3092
239	974	3087
240	978	3083
241	982	3078
242	986	3073
243	990	3067
244	994	3063
245	998	3059
246	1001	3054
247	1005	3048
248	1009	3045
249	1013	3040
250	1017	3035
251	1020	3030
252	1025	3026
253	1029	3022
254	1032	3017
255	1036	3012
256	1040	3008
257	1044	3003
258	1048	2998
259	1052	2994
